advert_id;source;title;make;model;year;engine;gearbox;cc;power;power_kw;mileage;currency;price;estimated_price;save_diff;extra_charge;discount;increase;price_in_eur;estimated_price_in_eur;save_diff_in_eur;extra_charge_in_eur;equipment;url;created_on;updated_on
11724749905568120-mobile.bg;mobile.bg;Toyota Verso 103хил.км.!!! Нави! Камера! FULL;Toyota;Verso;2014;Petrol;Automatic;1800;147;147;103000;BGN;22999;18715;0;4284;0;22.89;11759;9569;0;2190;;https://www.mobile.bg/obiava-11724749905568120;2024-08-27;
21724672902592994-mobile.bg;mobile.bg;Dacia Duster;Dacia;Duster;2015;Petrol;Manual;1600;105;105;181000;BGN;12999;14874;1875;0;12.61;0;6646;7605;959;0;;https://www.mobile.bg/obiava-21724672902592994;2024-08-27;
21724673633255597-mobile.bg;mobile.bg;Dacia Duster;Dacia;Duster;2015;Petrol;Manual;1600;105;105;182000;BGN;13300;14874;1574;0;10.58;0;6800;7605;805;0;;https://www.mobile.bg/obiava-21724673633255597;2024-08-27;
11724657731176911-mobile.bg;mobile.bg;Opel Astra 1.4T LPG;Opel;Astra;2015;Petrol;Manual;1400;140;140;170000;BGN;16700;18275;1575;0;8.62;0;8539;9344;805;0;;https://www.mobile.bg/obiava-11724657731176911;2024-08-27;
21724701822852454-mobile.bg;mobile.bg;Audi SQ5 3.0TDI COMPETITION ПАНОРАМА ГЕРМАНИЯ;Audi;SQ5;2015;Diesel;Automatic;3000;313;313;232000;BGN;34999;33155;0;1844;0;5.56;17895;16952;0;943;;https://www.mobile.bg/obiava-21724701822852454;2024-08-27;
11724744597841089-mobile.bg;mobile.bg;Audi A6 Competition;Audi;A6;2015;Diesel;Automatic;3000;326;326;226000;BGN;42900;45762;2862;0;6.25;0;21934;23398;1463;0;;https://www.mobile.bg/obiava-11724744597841089;2024-08-27;
7330411-autouncle.pl;autouncle.pl;Fiat Tipo Salon Polska Instalacja Gazowa F.VAT23% 28900 netto 1.4 +LPG II …;Fiat;Tipo;2021;LPG;Manual;1400;0;0;145000;PLN;28900;42867;13967;0;32.58;0;6711;9955;3244;0;pilot,climate control,parking,isofix,esp,anti spin,is service ok;https://www.autouncle.pl/en/outgoing_link/sprzedajemy/7330411/11696561;2024-08-27;
7329927-autouncle.pl;autouncle.pl;Opel Astra kombi;Opel;Astra;2021;Petrol;Manual;1200;0;0;53000;PLN;47355;57512;10157;0;17.66;0;10997;13356;2359;0;pilot,climate control,isofix,esp,anti spin,rain sensor;https://www.autouncle.pl/en/outgoing_link/autogielda/7329927/11695562;2024-08-27;
11724702233352841-mobile.bg;mobile.bg;VW Passat 2.0TDI HIGHLINE 190К.С. DSG FULL LED;VW;Passat;2016;Diesel;Automatic;2000;190;190;180829;BGN;23999;23913;0;86;0;0.36;12270;12227;0;44;;https://www.mobile.bg/obiava-11724702233352841;2024-08-27;
401632083-mobile.de;mobile.de;BMW M140i xDrive, Navi Professional, Special Edition;BMW;M140;2017;Petrol;Automatic;0;340;250;92200;EUR;33500;33883;383;0;1.13;0;33500;33883;383;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401632083&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
